🇨🇳| 央视,#genre#
CCTV1,https://i.125011.xyz/migu.php?id=cctv1
CCTV1,https://i.125011.xyz/migu.php?id=cctv1b
CCTV1,http://36.129.204.120:880/CCD303.m3u8
CCTV1,http://13457610200.8866.org:2018/live/CCTVx1高清/index.m3u8
CCTV1,http://13457610200.8866.org:2018/live/中央1HD/index.m3u8
CCTV1,http://caiyehe.7766.org:9901/tsfile/live/1083_1.m3u8
CCTV1,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cctv1$r7d 8M FHD
CCTV2,https://i.125011.xyz/migu.php?id=cctv2
CCTV2,http://36.129.204.120:880/DX2.m3u8
CCTV2,http://13457610200.8866.org:2018/live/CCTVx2高清/index.m3u8
CCTV2,http://13457610200.8866.org:2018/live/中央2HD/index.m3u8
CCTV2,http://caiyehe.7766.org:9901/tsfile/live/1047_1.m3u8
CCTV2,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cctv2$r7d 8M FHD
CCTV3,https://i.125011.xyz/migu.php?id=cctv3
CCTV3,http://36.129.204.120:880/DX101.m3u8
CCTV3,http://13457610200.8866.org:2018/live/CCTVx3高清/index.m3u8
CCTV3,http://13457610200.8866.org:2018/live/中央3HD/index.m3u8
CCTV3,http://caiyehe.7766.org:9901/tsfile/live/1072_1.m3u8
CCTV3,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cctv3$r7d 8M FHD
CCTV4,https://i.125011.xyz/migu.php?id=cctv4
CCTV4,http://36.129.204.120:880/DX4.m3u8
CCTV4,http://13457610200.8866.org:2018/live/CCTVx4高清/index.m3u8
CCTV4,http://caiyehe.7766.org:9901/tsfile/live/1048_1.m3u8
CCTV4,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cctv4$r7d 8M FHD
CCTV5,https://i.125011.xyz/migu.php?id=cctv5
CCTV5,https://i.125011.xyz/migu.php?id=cctv5b
CCTV5,http://36.129.204.120:880/DX99.m3u8
CCTV5,http://13457610200.8866.org:2018/live/CCTVx5高清/index.m3u8
CCTV5,http://13457610200.8866.org:2018/live/中央5HD/index.m3u8
